,Image URL,URL for Your Paintings Page,Subset,Labels
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uni/624x544/edi_uni_eu_1033_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/man-on-a-horse-94392','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uni/624x544/edi_uni_eu_0744_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/fishing-boats-in-a-calm-94456','validation',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uni/624x544/edi_uni_eu_0630_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/no-5-boats-on-the-shore-94475','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uni/624x544/edi_uni_eu_0329_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/fishing-boats-94246','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/un/624x544/bcn_un_4_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-patrick-walker-chairman-of-university-college-northamp49426','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/um/624x544/glw_um_pcf10_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/classical-landscape-with-a-lake-boats-and-a-hilltop-town-i65114','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uhmt/624x544/not_uhmt_up5_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/alan-brodrick-c-16561728-1st-viscount-midleton-46508','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uhi/624x544/nsc_uhi_lccart0017_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/boats-in-the-inner-harbour-166868','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ug/624x544/lse_ug_107_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/rural-scene-with-fantastic-birds-194452','test',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ug/624x544/lse_ug_105_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-a-dog-194449','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uex/624x544/dev_uex_pcf330_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/bird-96403','test',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uex/624x544/dev_uex_pcf11_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/horses-head-96246','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uex/624x544/dev_uex_fac_00978_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/yellow-bird-96441','test',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uex/624x544/dev_uex_fac_00399_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lady-with-a-fan-in-a-chair-96316','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ueclaa/624x544/esx_ueclaa_489_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/chair-in-taquile-peru-4228','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclh/624x544/cdn_uclh_uclharts_nhnn_260_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/woman-and-a-dog-oriental-scene-124131','test',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclh/624x544/cdn_uclh_uclharts_nhnn_259_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/woman-and-a-dog-oriental-scene-124130','test',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclh/624x544/cdn_uclh_uclharts_edh_325_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/fishing-boat-124086','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclan/624x544/lan_uclan_pcf_ucl_2_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/gloria-oates-chair-of-the-board-at-the-university-of-ce19902001','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_ucldw_e0015_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dioramas-of-pleistocene-equus-przewashii-mongolian-wild-ho42606','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5468_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/girl-seated-reading-at-a-table-41987','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5360_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/female-figure-seated-on-a-chair-with-blue-drapery-41952','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5359_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/male-figure-seated-in-a-chair-42067','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5294_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/domestic-employment-a-girl-seated-in-a-chair-sewing-dodie-42379','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5268_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/reconstruction-a-horse-and-cart-with-figures-in-a-sandpit-42571','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uclac/624x544/lducs_uclac_pc5255_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/inlet-with-sailing-boats-42088','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_34_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/table-14015','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_33_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/karen-14009','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_23_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/to-blossom-and-fade-and-blossom-again-14030','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_21_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/couple-at-a-table-14033','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_11_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/untitled-14020','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_08_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/equinoctial-13867','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ucf/624x544/cw_ucf_05_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/bow-window-13878','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/uce/624x544/brm_uce_ua_gg_009_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/girl-and-dog-32865','test',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ubo/624x544/ws_ubo_008_035_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/circus-horse-and-rider-70372','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ubo/624x544/ws_ubo_007_030_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/boat-70395','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_39116_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-a-early-scottish-king-105142','train',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_33802_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/stonehaven-harbour-aberdeenshire-104894','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_33127_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-kenneth-murchison-104897','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_33124_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-constable-of-the-tower-104943','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_33005_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-ness-and-the-caledonian-canal-104866','train',' sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_33003_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-an-unknown-woman-104813','test',' bird dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_32201_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sail-boat-pier-104901','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_32199_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-smith-18561942-105058','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_32195_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/joseph-ogilvie-105027','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_32194_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-smith-18561942-105057','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31987_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/thomas-jaffrey-18611953-104870','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31958_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-ballad-of-old-robin-gray-104807','validation',' chair diningtable dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31951_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-very-reverend-john-lamb-104908','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31929_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-kenneth-alexander-19222001-104876','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31928_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/william-robertson-smith-18461894-105026','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31921_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mrs-mary-niven-104970','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31920_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/charles-niven-105059','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31916_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dark-harbour-104946','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31860_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/aldroughty-house-moray-104976','validation',' cow'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31855_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/david-and-saul-jephtha-and-his-daughter-105186','train',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31642_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/woman-with-dog-105122','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31197_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hector-boece-14651536-105118','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31185_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/willan-swainson-conductor-of-the-aberdeen-bach-choir-1956105074','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_31085_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/highland-cows-and-sheep-104812','train',' cow sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30992_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/principal-j-maxwell-irvine-104801','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30919_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/lord-polwarth-chancellor-of-the-university-of-aberdeen-19104857','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30858_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/psychology-experiment-diptych-104859','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30823_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/window-normandy-104816','validation',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30758_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/francis-edmond-of-kingswells-ma-lld-105024','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30754_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/reverend-william-milligan-18211893-dd-105041','train',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30671_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dr-william-keith-104984','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30664_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/principal-george-p-mcnicol-b-1929-104850','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30648_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/battle-of-hochkirch-14-october-1758-105004','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30640_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-william-duguid-geddes-18281900-105039','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30638_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/gilbert-burnet-16431715-dd-bishop-of-salisbury-104904','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30636_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/malcolm-vivian-hay-105056','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30633_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mrs-nicol-of-roscobie-104834','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30623_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/steam-and-sail-105173','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30622_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sark-harbour-channel-islands-104993','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30616_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dr-charles-mitchell-18201895-104969','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30611_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/family-group-105169','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30605_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-an-unknown-gentleman-104875','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30602_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/professor-robert-douglas-lockhart-18941987-104896','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30601_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mrs-elizabeth-lockhart-104989','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30556_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/kings-college-aberdeen-105098','test',' dog horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30527_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dunnottar-castle-104820','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30512_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/mrs-helen-gerard-wife-of-reverend-gilbert-gerard-dd-105166','train',' chair dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30480_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/dr-w-douglas-simpson-18961968-104990','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30310_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hercules-and-isabella-strachan-105065','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30268_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/marischal-college-quadrangle-aberdeen-104887','test',' dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30264_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/old-aberdeen-from-tillydrone-104983','train',' dog sheep'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30252_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/saint-cecilia-105094','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30206_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/j-g-burnett-and-mrs-burnett-105063','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30200_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-hunters-105077','test',' bird'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30194_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/still-life-with-a-bottle-104906','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30191_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/salmon-nets-on-the-shore-104863','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30190_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/marjorie-linklater-19091997-104854','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30189_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/eric-linklater-18991974-104853','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30187_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/william-ruddiman-105093','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30171_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-blind-girl-104833','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30169_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/battle-of-hochkirch-14-october-1758-105092','test',' horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30161_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-thomson-d-1911-104832','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30160_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/charles-sanford-terry-105072','test',' chair dog'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30157_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-struthers-18231899-md-lld-105038','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30156_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/alexander-souter-18731949-105060','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30150_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/charles-skene-md-105051','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30148_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-simpson-lld-105160','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30147_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/archibald-simpson-17901847-104884','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30133_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/portrait-of-a-gentleman-105158','test',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30123_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/professor-sir-alexander-ogston-18441929-105196','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30120_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/george-garden-nicol-104814','validation',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30119_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/reverend-george-morison-17571845-104886','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30116_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/andrew-moir-104842','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30115_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/david-mitchell-lld-105157','validation',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30114_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-milne-of-bombay-md-104979','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30103_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/hector-munro-macdonald-ma-frs-104865','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30085_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/joseph-hume-17771855-mp-105154','test',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30058_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/frederick-forbes-md-105148','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30056_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/sir-william-hamilton-fyfe-18781965-104891','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30054_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/william-elphinstone-14311514-bishop-of-aberdeen-104883','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30053_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/william-elphinstone-14311515-bishop-of-aberdeen-104805','test',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30051_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/francis-edmond-of-kingswells-ma-lld-105032','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30044_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/john-cruickshank-lld-104888','validation',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30033_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/the-chinese-vase-104835','train',' diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30027_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/henry-jackson-butchart-18821971-104855','train',' chair diningtable'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30025_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/gilbert-burnet-16431715-dd-bishop-of-salisbury-copy-of-a-104957','train',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30012_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/kings-college-aberdeen-105080','train',' dog horse'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30007_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/domestic-dutch-interior-104831','test',' chair'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30005_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/william-elphinstone-14311514-bishop-of-aberdeen-105079','train',' boat'
,'http://ichef.bbci.co.uk/arts/yourpaintings/images/paintings/ua/624x544/abd_ua_30004_624x544.jpg','http://www.bbc.co.uk/arts/yourpaintings/paintings/noonday-105213','train',' cow'
